Code commune,Libellé de la commune,N.Pan.,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,D_elec_2020
11272,Palaja,2.0,LNC,M,LECINA,Thierry,PALAJA 2020: UNIS POUR REUSSIR,15.0,0.0,1.0,730.0,36.37,53.72,0.0
12145,Millau,1.0,LUG,F,GAZEL,Emmanuelle,MILLAU NATURELLEMENT,26.0,0.0,16.0,3685.0,21.92,44.54,1.0
12202,Rodez,2.0,LDVC,M,TEYSSEDRE,Christian,NOTRE PARTI C'EST RODEZ,28.0,0.0,17.0,2846.0,19.06,55.17,0.0
12208,Saint-Affrique,3.0,LLR,M,DAVID,Sébastien,ENVIES & RENOUVEAU,22.0,0.0,13.0,1602.0,28.89,45.92,0.0
12270,Sévérac d'Aveyron,1.0,LDIV,M,GROS,Edmond,SEVERAC CITOYEN,24.0,0.0,9.0,1307.0,38.79,61.74,0.0
13001,Aix-en-Provence,1.0,LUD,F,JOISSAINS-MASINI,Maryse,LA PASSION D'AIX,40.0,0.0,13.0,12963.0,14.4,43.53,0.0
13002,Allauch,2.0,LDVD,M,DE CALA,Lionel,Generations Allauch,29.0,0.0,2.0,5128.0,28.82,59.67,0.0
13004,Arles,8.0,LDVC,M,DE CAROLIS,Patrick,POUR LE GRAND ARLES,36.0,0.0,17.0,9949.0,26.58,57.22,0.0
13005,Aubagne,7.0,LLR,M,GAZAY,Gérard,AUBAGNE ENSEMBLE,32.0,0.0,4.0,6270.0,18.87,48.03,0.0
13019,Cabriès,5.0,LECO,F,VENTRON,Amapola,UN NOUVEAU SOUFFLE POUR CABRIES CALAS,20.0,0.0,1.0,1794.0,21.13,36.53,1.0
13021,Carry-le-Rouet,1.0,LDVD,M,CARPENTIER,René-Francis,UNIS POUR CARRY LE ROUET,22.0,0.0,1.0,1381.0,24.03,47.38,0.0
13028,La Ciotat,4.0,LLR,M,BORE,Patrick,CAP SUR L'AVENIR,29.0,0.0,3.0,5240.0,17.39,46.19,0.0
13040,Fuveau,3.0,LDVC,F,BONFILLON CHIAVASSA,Béatrice,FUVEAU TOUJOURS,25.0,0.0,1.0,1906.0,24.18,52.74,0.0
13041,Gardanne,4.0,LLR,M,GRANIER,Hervé,Donnons un nouveau souffle à Gardanne et Biver,24.0,0.0,2.0,2580.0,15.59,35.74,0.0
13046,Gréasque,1.0,LDVC,M,RUIZ,Michel,"GREASQUE, LA DYNAMIQUE CONTINUE",21.0,0.0,1.0,986.0,29.51,52.73,0.0
13048,Jouques,2.0,LDIV,M,GARCIN,Eric,Pourquoi pas à Jouques,22.0,0.0,1.0,1258.0,31.91,59.45,0.0
13049,Lamanon,1.0,LNC,M,NERVI,Christian,AGIR POUR LAMANON,15.0,0.0,1.0,528.0,31.71,53.55,0.0
13050,Lambesc,3.0,LUD,M,RAMOND,Bernard,Pour que vive Lambesc,23.0,0.0,1.0,1679.0,22.39,56.65,0.0
13055SR01,Marseille Secteur 1,4.0,LUG,F,CAMARD,Sophie,"LE PRINTEMPS MARSEILLAIS - DEBOUT MARSEILLE La gauche, les écologistes et les citoyens rassemblés",9.0,18.0,8.0,11377.0,25.65,58.01,1.0
13055SR02,Marseille Secteur 2,8.0,LUG,M,PAYAN,Benoît,"La gauche, les écologistes et les citoyens rassemblés",6.0,12.0,6.0,4452.0,13.57,46.29,1.0
13055SR03,Marseille Secteur 3,9.0,LUG,F,RUBIROLA,Michèle,"LE PRINTEMPS MARSEILLAIS, LE RASSEMBLEMENT DE LA GAUCHE, DES ECOLOGISTES ET DES CITOYENS",9.0,18.0,9.0,12540.0,23.2,56.99,1.0
13055SR04,Marseille Secteur 4,3.0,LUG,F,FORTIN,Olivia,"Le Printemps Marseillais, le Rassemblement de la Gauche, des écologistes et des citoyens",11.0,22.0,11.0,14477.0,18.05,41.78,1.0
13055SR05,Marseille Secteur 5,7.0,LLR,M,ROYER-PERREAUT,Lionel,Une volonté pour Marseille avec Martine Vassal,11.0,22.0,12.0,11825.0,14.39,43.52,0.0
13055SR06,Marseille Secteur 6,7.0,LLR,M,RAVIER,Julien,UNE VOLONTE POUR MARSEILLE AVEC MARTINE VASSAL,10.0,18.0,10.0,9818.0,12.13,35.37,0.0
