Code commune,Libellé de la commune,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,Ordre_candidat,D_elec_2020
34079,Clermont-l'Hérault,LDIV,M,RUIZ,Salvador,CLERMONT AUX CITOYENS,20,0.0,10.0,1439.0,24.26,38.27,2,0.0
34089,Creissan,LDIV,M,BARTHES,Bruno,CREISSAN... ATOUT COEUR,12,0.0,2.0,372.0,39.28,49.14,2,0.0
34090,Le Crès,LSOC,M,BONNAL,Pierre,VIVRE LE CRES,22,0.0,2.0,2371.0,34.59,52.34,1,1.0
34108,Frontignan,LUG,M,BOULDOIRE,Pierre,VIVRE FRONTIGNAN LA PEYRADE,28,0.0,9.0,6469.0,35.85,56.89,1,1.0
34113,Gigean,LDIV,M,VEAUTE,Francis,GIGEAN UN NOUVEL ELAN,22,0.0,2.0,1423.0,33.1,51.73,3,0.0
34116,Grabels,LDVG,M,REVOL,René,GRABELS-UNE OEUVRE COMMUNE,23,0.0,2.0,1775.0,36.87,56.47,1,1.0
34123,Juvignac,LDIV,M,SAVY,Jean-Luc,VIVRE AUTREMENT JUVIGNAC,22,0.0,2.0,1959.0,30.76,45.31,1,0.0
34129,Lattes,LDVG,M,MEUNIER,Cyril,CONTINUONS A PROTEGER LATTES,25,0.0,4.0,4119.0,31.56,50.5,1,1.0
34136,Lézignan-la-Cèbe,LDVG,M,BOUYALA,Rémi,EN AVANT LEZIGNAN,12,0.0,1.0,543.0,50.89,61.08,1,1.0
34140,Lignan-sur-Orb,LDVG,M,RENAU,Jean-Claude,LIGNAN AUTREMENT,17,0.0,2.0,687.0,28.64,39.76,1,1.0
34142,Lodève,LUG,F,BOUSQUET,Marie-Christine,LODÈVE EN MOUVEMENT,22,0.0,16.0,2052.0,37.67,51.88,1,1.0
34143,Loupian,LUG,M,VIDAL,Alain,AGIR ENSEMBLE A LOUPIAN,15,0.0,3.0,675.0,40.11,53.44,1,1.0
34145,Lunel,LDVD,M,ARNAUD,Claude,BIEN VIVRE A LUNEL,26,0.0,17.0,4676.0,27.1,43.65,3,0.0
34146,Lunel-Viel,LDIV,M,CHARPENTIER,Jean,LUNEL-VIEL...PLUS LOIN AVEC VOUS,21,0.0,2.0,1077.0,38.69,52.31,1,0.0
34151,Marsillargues,LDVG,F,VIGNON,Bernadette,MARSILLARGUES AVANT TOUT,21,0.0,5.0,1292.0,28.07,39.67,2,1.0
34154,Mauguio,LDVG,M,BOURREL,Yvon,"Mauguio-Carnon, Affirmons le cap !",24,0.0,7.0,3989.0,27.81,42.71,1,1.0
34157,Mèze,LDVG,M,FRICOU,Henry,CAP 2020,25,0.0,10.0,3040.0,33.82,51.86,1,1.0
34159,Mireval,LSOC,M,DURAND,Christophe,ENSEMBLE POUR MIREVAL,16,0.0,1.0,749.0,28.38,37.26,1,1.0
34161,Montady,LSOC,M,CASTAN,Alain,MONTADY POUR TOUS,20,0.0,5.0,888.0,29.75,40.9,1,1.0
34162,Montagnac,LDVD,M,LLOPIS,Yann,MONTAGNAC NOTRE AVENIR,21,0.0,2.0,1209.0,39.56,52.91,2,0.0
34172,Montpellier,LDVG,M,SAUREL,Philippe,Montpellier c'est Vous,45,0.0,32.0,29928.0,20.56,37.54,2,1.0
