Code du département_x,Libellé du département,Nom de l'élu,Prénom de l'élu,Code commune,Libellé commune,Nuance Liste,D_elec_2020
1,Ain,LARRIEU,Pierre,01443,Villars-les-Dombes,LDVD,0.0
1,Ain,CHARMET,Emilie,01444,Villebois,,
1,Ain,POMMIER,David,01446,Villeneuve,,
1,Ain,GIRERD,Jordan,01447,Villereversure,,
1,Ain,BEAUFORT,Eric,01450,Villieu-Loyes-Mollon,LDVD,0.0
1,Ain,PERRET,Bernard,01451,Viriat,LDVD,0.0
1,Ain,GIVORD,Alain,01457,Vonnas,,
2,Aisne,BOURGEOIS,Guillaume,02003,Acy,,
2,Aisne,BOUVIER,Jean-Marie,02011,Ambleny,,
2,Aisne,CENTONZE SANDRAS,Ambroise,02018,Anizy-le-Grand,,
2,Aisne,BRUN,Yves,02028,Athies-sous-Laon,,
2,Aisne,DUMAY,Denis,02037,Aulnois-sous-Laon,,
2,Aisne,WABONT,Christian,02057,Beaurevoir,,
2,Aisne,GOARIN,Jackie,02059,Beautor,,
2,Aisne,MONTARON,Philippe,02064,Belleu,LDVG,1.0
2,Aisne,DEDUN,Patrick,02086,Bichancourt,,
2,Aisne,LAPLACE,Patrick,02093,Blérancourt,,
2,Aisne,ROJO,Yann,02095,Bohain-en-Vermandois,LDVG,1.0
2,Aisne,DONNAY,Eric,02103,Boué,,
2,Aisne,RAMPELBERG,François,02110,Braine,,
2,Aisne,CONTOZ,Julie,02114,Brasles,,
2,Aisne,TOKARSKI,Marie-Pierre,02128,Bruyères-et-Montbérault,,
2,Aisne,ROUTIER,Thierry,02131,Bucy-le-Long,,
2,Aisne,WATTIER,Marie-Anne,02135,Buironfosse,,
2,Aisne,WERY,Johann,02141,La Capelle,,
2,Aisne,PLANSON,Patricia,02163,Charly-sur-Marne,,
2,Aisne,COCU,Bruno,02165,Charmes,,
2,Aisne,EUGÈNE,Sébastien,02168,Château-Thierry,LDVC,0.0
2,Aisne,LIEVIN,Emmanuel,02173,Chauny,LDVC,0.0
2,Aisne,BEREAUX,Jean-Claude,02186,Chézy-sur-Marne,,
2,Aisne,SCLAVON,Jean-Marc,02187,Chierry,,
2,Aisne,ARNEFAUX,Alain,02203,Coincy,,
2,Aisne,BOUTROY,Sophie,02217,Coucy-le-Château-Auffrique,,
2,Aisne,SVRCEK,Arnaud,02226,Courmelles,,
2,Aisne,FÈRON,Fabrice,02238,Crépy,,
2,Aisne,MANGIN,Eric,02239,Crézancy,,
2,Aisne,PLATRIER,Claude,02243,Crouy,,
2,Aisne,GRZEZICZAK,Philippe,02287,Essigny-le-Grand,,
2,Aisne,BERGAULT,Jean-Paul,02290,Essômes-sur-Marne,,
2,Aisne,MAGNIER,Jean-Luc,02292,Etampes-sur-Marne,,
2,Aisne,REMY,Jean-Marie,02296,Etreillers,,
2,Aisne,VILAIN,Marie-Noëlle,02304,La Fère,,
2,Aisne,ROSELEUX,Jean-Paul,02305,Fère-en-Tardenois,,
2,Aisne,LE FRÈRE,Céline,02307,La Ferté-Milon,,
2,Aisne,FOURDRIGNIER,Jean,02312,La Flamengrie,,
2,Aisne,JULIEN,Patrick,02315,Flavy-le-Martel,,
2,Aisne,PORTAS,Jacques,02318,Folembray,,
2,Aisne,WEBER,Jean-Marc,02340,Gauchy,LDVD,0.0
2,Aisne,BRISON,Alain,02359,Grugies,,
2,Aisne,TIMMERMAN,Philippe,02360,Villeneuve-sur-Aisne,,
2,Aisne,COCHET,Hugues,02361,Guise,LDVG,1.0
2,Aisne,DESTOMBES,Bernard,02371,Harly,,
2,Aisne,THOMAS,Jean-Jacques,02381,Hirson,LSOC,1.0
2,Aisne,RISBOURG,Florent,02382,Holnon,,
2,Aisne,GOMEL,Francine,02383,Homblières,,
2,Aisne,GONDRY,Jean-Marie,02397,Jussy,,
2,Aisne,DELHAYE,Eric,02408,Laon,LDVD,0.0
2,Aisne,CALMUS,Philippe,02430,Liesse-Notre-Dame,,
2,Aisne,COLPART,Alain,02439,Les Septvallons,,
2,Aisne,COQUELET,Fabien,02495,Mondrepuis,,
2,Aisne,CHARLES,Gérard,02497,Mons-en-Laonnois,,
2,Aisne,HENNEQUIN,Thomas,02502,Montcornet,,
2,Aisne,LINIER,Stéphane,02504,Montescourt-Lizerolles,,
2,Aisne,DEVRON,Olivier,02521,Montreuil-aux-Lions,,
2,Aisne,AMELOT,Stéphan,02540,Nesles-la-Montagne,,
2,Aisne,BINIEC,Françoise,02543,Neuilly-Saint-Front,,
2,Aisne,BUREL,Régis,02554,Nogentel,,
2,Aisne,DUCLOS,Dominique,02555,Nogent-l'Artaud,,
2,Aisne,CAIL,Roselyne,02558,Le Nouvion-en-Thiérache,,
2,Aisne,GOËTZ,Patricia,02566,Ognes,,
2,Aisne,PINCKERS,Christiane,02574,Origny-en-Thiérache,,
2,Aisne,BURILLON,Dominique,02575,Origny-Sainte-Benoite,,
2,Aisne,CAMACHO,Philippe,02593,Pasly,,
2,Aisne,VITU,Patrick,02602,Pinon,,
2,Aisne,FLUCHER,José,02666,Rozoy-sur-Serre,,
2,Aisne,VIEVILLE,Jean-Pierre,02668,Sains-Richaumont,,
2,Aisne,NORMAND,Alain,02676,Saint-Erme-Outre-et-Ramecourt,,
2,Aisne,MATHIEU,Frédéric,02680,Saint-Gobain,,
2,Aisne,VERDAVAINE,Thierry,02684,Saint-Michel,,
2,Aisne,MACAREZ,Frédérique,02691,Saint-Quentin,LDVD,0.0
2,Aisne,LEGRAND,Hugues,02703,Seboncourt,,
2,Aisne,PEZET,Bernard,02719,Sinceny,,
2,Aisne,VANNOBEL,Christian,02720,Sissonne,,
2,Aisne,CREMONT,Alain,02722,Soissons,LDVD,0.0
2,Aisne,CARREAU,Michel,02738,Tergnier,LDVG,1.0
2,Aisne,BATTEFORT,Arnaud,02758,Vailly-sur-Aisne,,
2,Aisne,LEBEE-DELATTRE,Stéphanie,02780,Venizel,,
2,Aisne,BONIFACE,Jean-Pierre,02785,Vermand,,
2,Aisne,PRINCE,Jean-Marc,02789,Vervins,LDVG,1.0
2,Aisne,RUELLE,Bernard,02795,Vic-sur-Aisne,,
2,Aisne,LEMOINE,Alexandre,02798,Viels-Maisons,,
2,Aisne,DESUMEUR,Alex,02805,Villeneuve-Saint-Germain,,
2,Aisne,BRIFFAUT,Franck,02810,Villers-Cotterêts,LRN,0.0
2,Aisne,PLATEAUX,Jean,02818,Villiers-Saint-Denis,,
2,Aisne,FAREZ,Jean,02820,Viry-Noureuil,,
3,Allier,LOPEZ,Romain,03001,Abrest,,
3,Allier,HAUCHART,Nicole,03022,Bellenaves,,
3,Allier,SENNEPIN,François,03023,Bellerive-sur-Allier,LDVD,0.0
3,Allier,DEVOUCOUX,Bernard,03043,Broût-Vernet,,
3,Allier,OLIVIER,Brigitte,03046,Buxières-les-Mines,,
3,Allier,THEVENOUX,Fabien,03048,Cérilly,,
3,Allier,CHANIER,Alain,03052,Chamblet,,
3,Allier,BIDAUD,André,03053,Chantelle,,
3,Allier,DUBREUIL,Alain,03055,La Chapelaude,,
3,Allier,BOURDIER,Sylvain,03082,Commentry,LDVG,1.0
3,Allier,CARRÉ,Marie,03084,Cosne-d'Allier,,
3,Allier,LAPLACE,Thierry,03093,Creuzier-le-Neuf,,
3,Allier,LALOY,Jean-Sébastien,03095,Cusset,LDVD,0.0
3,Allier,SANVOISIN,Christian,03098,Désertines,LDVD,0.0
3,Allier,LABILLE,Christian,03100,Diou,,
3,Allier,LESCURAT,Pascale,03101,Domérat,LSOC,1.0
3,Allier,BRUNNER,Michel,03102,Dompierre-sur-Besbre,,
3,Allier,LABBE,Guy,03103,Le Donjon,,
3,Allier,BOVE,Bruno,03106,Durdat-Larequille,,
3,Allier,COPPIN,Stéphane,03107,Ebreuil,,
3,Allier,PAILLERET,Georges,03111,Estivareilles,,
3,Allier,POUZADOUX,Véronique,03118,Gannat,LDVD,0.0
3,Allier,CORRE,Didier,03126,Hauterive,,
3,Allier,ABRANOWITCH,Stéphane,03128,Huriel,,
3,Allier,DE CHABANNES,Jacques,03138,Lapalisse,,
3,Allier,TRIKI,Samir,03140,Lavault-Sainte-Anne,,
3,Allier,COMBEMOREL,Patrick,03155,Lurcy-Lévis,,
3,Allier,JARDIN,André,03156,Lusigny,,
3,Allier,RAYMOND,Jean-Pierre,03165,Le Mayet-de-Montagne,,
3,Allier,MONDELIN,Annie,03173,Molinet,,
3,Allier,LAPORTE,Frédéric,03185,Montluçon,LLR,0.0
3,Allier,LINDRON,Didier,03186,Montmarault,,
3,Allier,PERISSOL,Pierre-André,03190,Moulins,LLR,0.0
3,Allier,CHAPY,Alain,03195,Néris-les-Bains,,
3,Allier,BAUDOIN,Hervé,03197,Neuilly-le-Réal,,
3,Allier,POZZOLI,Bernard,03211,Prémilhat,,
3,Allier,NOUHANT,Francis,03212,Quinssaines,,
3,Allier,CUISSET,Elisabeth,03236,Saint-Germain-des-Fossés,LDVD,0.0
3,Allier,FERRAND,Emmanuel,03254,Saint-Pourçain-sur-Sioule,LLR,0.0
3,Allier,DUMONT,Alain,03258,Saint-Rémy-en-Rollat,,
3,Allier,GUERIN,Jean-Pierre,03262,Saint-Victor,,
3,Allier,KUCHNA,Joseph,03264,Saint-Yorre,,
3,Allier,BARBARIN,Michel,03275,Souvigny,,
3,Allier,MARGELIDON,Guillaume,03286,Toulon-sur-Allier,,
3,Allier,JACQUARD,Marie-Thérèse,03290,Trévol,,
3,Allier,KEMIH,Mohammed,03297,Vallon-en-Sully,,
3,Allier,LITAUDON,Roger,03298,Varennes-sur-Allier,LDVD,0.0
3,Allier,DUCHALET,Jérôme,03301,Vaux,,
3,Allier,GERMANANGUE,Jean-Marc,03304,Vendat,,
3,Allier,AGUIAR,Bernard,03306,Le Vernet,,
3,Allier,AGUILERA,Frédéric,03310,Vichy,LLR,0.0
3,Allier,GLOMOT,Philippe,03314,Villebret,,
3,Allier,FERRIÈRE,Gérard,03315,Villefranche-d'Allier,,
3,Allier,DESFORGES DESAMIN,Dominique,03316,Villeneuve-sur-Allier,,
3,Allier,PERRIN,Pascal,03321,Yzeure,LSOC,1.0
4,Alpes-De-Haute-Provence,AUDRAN,Michel,04001,Aiglun,,
4,Alpes-De-Haute-Provence,COZZI,Marion,04008,Annot,,
4,Alpes-De-Haute-Provence,BORGHINI,Jean-Charles,04034,La Brillanne,,
4,Alpes-De-Haute-Provence,LIPERINI,Bernard,04039,Castellane,LDVD,0.0
4,Alpes-De-Haute-Provence,BAUMEL,Gérard,04045,Céreste,,
4,Alpes-De-Haute-Provence,CASTEL,Jean-Claude,04063,Corbières,,
4,Alpes-De-Haute-Provence,GRANET-BRUNELLO,Patricia,04070,Digne-les-Bains,LDVC,0.0
4,Alpes-De-Haute-Provence,FIAERT,Claude,04079,L'Escale,,
4,Alpes-De-Haute-Provence,GEHANT,David,04088,Forcalquier,LDVD,0.0
4,Alpes-De-Haute-Provence,AUDAN,Paul,04094,Gréoux-les-Bains,,
4,Alpes-De-Haute-Provence,FORTOUL,Jacques,04096,Jausiers,,
4,Alpes-De-Haute-Provence,FONTAINE,Sonia,04108,Malijai,,
4,Alpes-De-Haute-Provence,COMTE,Jean-Paul,04110,Mallemoisson,,
4,Alpes-De-Haute-Provence,DEPIEDS,Jacques,04111,Mane,,
4,Alpes-De-Haute-Provence,GALTIER,Camille,04112,Manosque,LDVD,0.0
4,Alpes-De-Haute-Provence,GAUVAN,Benoît,04143,Oraison,LDVC,0.0
4,Alpes-De-Haute-Provence,DAUPHIN,Frédéric,04145,Peipin,,
4,Alpes-De-Haute-Provence,VIVOS,Patrick,04149,Peyruis,,
4,Alpes-De-Haute-Provence,MILLE,André,04152,Pierrevert,LDVD,0.0
4,Alpes-De-Haute-Provence,DUFOUR,Claire,04160,Reillanne,,
4,Alpes-De-Haute-Provence,BIANCHI,Christophe,04166,Riez,,
4,Alpes-De-Haute-Provence,PRATO,Serge,04173,Saint-André-les-Alpes,,
4,Alpes-De-Haute-Provence,PAUL,Patricia,04178,Saint-Etienne-les-Orgues,,
4,Alpes-De-Haute-Provence,GROSSO,Jean-Paul,04192,Saint-Michel-l'Observatoire,,
4,Alpes-De-Haute-Provence,QUEIRAS,Jean-Luc,04197,Sainte-Tulle,,
4,Alpes-De-Haute-Provence,PASCAL,Laurent,04205,Seyne,,
4,Alpes-De-Haute-Provence,SPAGNOU,Daniel,04209,Sisteron,LDVD,0.0
4,Alpes-De-Haute-Provence,AURRIC,Gérard,04230,Valensole,,
4,Alpes-De-Haute-Provence,FAUDRIN,Serge,04242,Villeneuve,LDVG,1.0
4,Alpes-De-Haute-Provence,COSSERAT,Sandrine,04244,Volonne,,
5,Hautes-Alpes,BONNAFFOUX,Joël,05017,La Bâtie-Neuve,,
5,Hautes-Alpes,MURGIA,Arnaud,05023,Briançon,LUD,0.0
5,Hautes-Alpes,BARRAL,Jean-Marie,05036,Châteauroux-les-Alpes,,
5,Hautes-Alpes,DURAND,Christian,05040,Chorges,,
5,Hautes-Alpes,GANDOIS,Jean-Pierre,05045,Crots,,
5,Hautes-Alpes,EYMEOUD,Chantal,05046,Embrun,LUDI,0.0
5,Hautes-Alpes,DIDIER,Roger,05061,Gap,LDVD,0.0
5,Hautes-Alpes,PORTEVIN,Christine,05065,Guillestre,,
5,Hautes-Alpes,DUPRAT,Jean-Marc,05070,Laragne-Montéglin,LLR,0.0
5,Hautes-Alpes,REY,Jean-Marie Gérard Christian,05079,Le Monêtier-les-Bains,,
5,Hautes-Alpes,CHAUTANT,Maurice,05123,La Roche-des-Arnauds,,
5,Hautes-Alpes,DAUMARK,Laurent,05132,Saint-Bonnet-en-Champsaur,,
5,Hautes-Alpes,CHANFRAY,Corinne,05133,Saint-Chaffrey,,
5,Hautes-Alpes,PAPET,Rodolphe,05145,Saint-Jean-Saint-Nicolas,,
5,Hautes-Alpes,GIORDANO,Serge Raymond Victor,05151,Saint-Martin-de-Queyrières,,
5,Hautes-Alpes,GRIMAUD,Roger,05162,La Saulce,,
5,Hautes-Alpes,BERENGUEL,Victor,05164,Savines-le-Lac,,
5,Hautes-Alpes,GILARDEAU-TRUFFINET,Christian,05179,Veynes,,
5,Hautes-Alpes,FINE,Sébastien,05183,Villar-Saint-Pancrace,,
6,Alpes-Maritimes,LEONETTI,Jean,06004,Antibes,LLR,0.0
6,Alpes-Maritimes,BONSIGNORE,Pascal,06006,Aspremont,,
6,Alpes-Maritimes,PAGANIN,Michèle,06007,Auribeau-sur-Siagne,,
6,Alpes-Maritimes,WYSZKOWSKI,François,06010,Le Bar-sur-Loup,,
6,Alpes-Maritimes,ROUX,Roger,06011,Beaulieu-sur-Mer,LLR,0.0
6,Alpes-Maritimes,SPINELLI,Gérard,06012,Beausoleil,LDIV,0.0
6,Alpes-Maritimes,LAVAGNA,Maurice,06015,Berre-les-Alpes,,
6,Alpes-Maritimes,DERMIT,Jean-Pierre,06018,Biot,LLR,0.0
6,Alpes-Maritimes,LOTTIER,Michel,06019,Blausasc,,
6,Alpes-Maritimes,OLHARAN,Sébastien,06023,Breil-sur-Roya,,
6,Alpes-Maritimes,HEURA,Philippe,06025,Le Broc,,
6,Alpes-Maritimes,BORNET,Pierre,06026,Cabris,,
6,Alpes-Maritimes,NÈGRE,Louis,06027,Cagnes-sur-Mer,LLR,0.0
6,Alpes-Maritimes,LISNARD,David,06029,Cannes,LLR,0.0
6,Alpes-Maritimes,BRANDA,Gérard,06031,Cantaron,,
6,Alpes-Maritimes,BECK,Xavier,06032,Cap-d'Ail,LLR,0.0
6,Alpes-Maritimes,BERNARD,Yannick,06033,Carros,LDVD,0.0
6,Alpes-Maritimes,SPINELLI,Jean-François,06034,Castagniers,,
6,Alpes-Maritimes,ARSENTO-CURTI,Anne-Marie,06035,Castellar,,
6,Alpes-Maritimes,DELMOTTE,Emmanuel,06038,Châteauneuf-Grasse,LDIV,0.0
6,Alpes-Maritimes,MION,Jean-Bernard,06044,La Colle-sur-Loup,LLR,0.0
6,Alpes-Maritimes,BRES,Isabelle,06046,Colomars,,
6,Alpes-Maritimes,TUJAGUE,Francis,06048,Contes,LDVG,1.0
6,Alpes-Maritimes,NARDELLI,Robert,06054,Drap,LDVD,0.0
6,Alpes-Maritimes,DONADEY,Pierre,06057,L'Escarène,,
6,Alpes-Maritimes,CHERKI,Stéphane,06059,Eze,,
6,Alpes-Maritimes,TOSEL,Anaïs,06060,Falicon,,
6,Alpes-Maritimes,BETTATI,Bruno,06065,La Gaude,LDVD,0.0
6,Alpes-Maritimes,PASTOR,Fabrice,06067,Gorbio,,
6,Alpes-Maritimes,VIAUD,Jérôme,06069,Grasse,LLR,0.0
6,Alpes-Maritimes,THAON,Jean,06074,Lantosque,,
6,Alpes-Maritimes,VERAN,Antoine,06075,Levens,LLR,0.0
6,Alpes-Maritimes,CALMET,Michel,06077,Lucéram,,
